m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
100,25,100,4724,208.22634019526882,4726,212.3067463818913,0.9635200000000002,0.5068980690482738,0.8220791913431308,1.888,1.7525544400000002
120,30,100,6839,323.50849070119165,6836,299.1800487107093,0.9630555555555557,0.5049909864628829,0.8182667601012646,1.9266666666666665,2.5945664200000005
140,35,100,9305,387.74139351155094,9298,390.71146673795533,0.9719999999999999,0.5099950096381148,0.823318453847739,1.9257142857142857,5.278204359999999
160,40,100,12065,393.11109838784455,12055,419.1456246632678,0.962875,0.5087148149911784,0.8202600929904135,1.9150000000000003,9.58113022
180,45,100,15399,533.1026698383073,15383,533.0865517541828,0.9671111111111111,0.5106223297977397,0.8183144950918224,1.9333333333333336,16.71814794
200,50,100,18918,620.9142414866321,18920,605.1364525211833,0.9657199999999999,0.5107570972290343,0.8210848762251917,1.94,25.508984079999998
220,55,100,22994,730.2845705875707,22992,765.61866854437,0.9696859504132231,0.5120829662706731,0.8178898112921557,1.9709090909090907,37.13431816
240,60,100,27385,832.1697377123977,27401,844.8095122687638,0.9614722222222222,0.5081980247959702,0.819275461546149,1.9633333333333334,52.30749088
260,65,100,31882,877.7271500084163,31916,868.079582847115,0.9715976331360947,0.5145006335549369,0.8170122541239374,1.9415384615384617,68.27626362
280,70,100,37143,1030.0367029391482,37148,1037.4331565255181,-1.0,-1.0,-1.0,-1.0,-1.0
300,75,100,42283,1026.9198955007578,42268,1016.6063065038635,-1.0,-1.0,-1.0,-1.0,-1.0
320,80,100,48432,1275.2445670432458,48438,1304.005020721515,-1.0,-1.0,-1.0,-1.0,-1.0
340,85,100,54503,1234.4532953781875,54517,1228.4770396104027,-1.0,-1.0,-1.0,-1.0,-1.0
360,90,100,60909,1291.0064251296976,60915,1337.1173053481102,-1.0,-1.0,-1.0,-1.0,-1.0
380,95,100,67945,1456.304682886757,67992,1459.8927501781936,-1.0,-1.0,-1.0,-1.0,-1.0
400,100,100,75576,1686.926876314082,75610,1615.1174563257396,-1.0,-1.0,-1.0,-1.0,-1.0
420,105,100,82977,1711.5141506845655,82909,1722.3304242538668,-1.0,-1.0,-1.0,-1.0,-1.0
440,110,100,90855,1713.610758139704,90796,1729.5951258039572,-1.0,-1.0,-1.0,-1.0,-1.0
460,115,100,99449,1932.171636770335,99349,1945.9551546240073,-1.0,-1.0,-1.0,-1.0,-1.0
480,120,100,107635,1939.8199111302808,107616,1942.2346505196783,-1.0,-1.0,-1.0,-1.0,-1.0
500,125,100,117077,2134.8662317634753,117126,2189.255426652688,-1.0,-1.0,-1.0,-1.0,-1.0
520,130,100,126870,2218.297622733589,126950,2233.261525357579,-1.0,-1.0,-1.0,-1.0,-1.0
540,135,100,137117,2418.581286921716,137108,2404.637376271499,-1.0,-1.0,-1.0,-1.0,-1.0
560,140,100,147273,2496.1011546965315,147220,2534.484906701234,-1.0,-1.0,-1.0,-1.0,-1.0
580,145,100,157761,2562.3727053000903,157687,2621.4185840445934,-1.0,-1.0,-1.0,-1.0,-1.0
600,150,100,167962,2680.5848325474985,168101,2619.387115534827,-1.0,-1.0,-1.0,-1.0,-1.0
60,15,100,1731,117.37481253927393,1731,109.09571153918685,0.9615555555555556,0.5017593340687467,0.8337283473336804,1.8933333333333333,0.20405848
80,20,100,3040,198.01815209806924,3040,195.27288207018452,0.9585000000000001,0.502345928276686,0.8249437001259373,1.95,0.5248628
